id,name,party,partyLabel,votes,election,electionLabel,ranking
Q264116,Steve Webb,Q9624,Liberal Democrats (UK),30872,Q428598,General election 2005,1
,Christopher Butt,Q9626,Conservative Party (UK),19839,Q428598,General election 2005,2
,Patricia Gardener,Q9630,Labour Party (UK),6277,Q428598,General election 2005,3
,Adrian Blake,Q10647,UK Independence Party,1032,Q428598,General election 2005,4
,Alan Pinder,Q9669,Green Party of England and Wales,922,Q428598,General election 2005,5
,Thomas Beacham,Q327591,Independent politician,114,Q428598,General election 2005,6
Q264116,Steve Webb,Q9624,Liberal Democrats (UK),29217,Q590740,General election 2001,1
,Carrie Ruxton,Q9626,Conservative Party (UK),19340,Q590740,General election 2001,2
,Robert Hall,Q9630,Labour Party (UK),6450,Q590740,General election 2001,3
,Carmen Carver,Q10647,UK Independence Party,751,Q590740,General election 2001,4
Q264116,Steve Webb,Q9624,Liberal Democrats (UK),26500,Q918503,General election 1997,1
Q1699659,John Cope,Q9626,Conservative Party (UK),24363,Q918503,General election 1997,2
,Ronald Stone,Q9630,Labour Party (UK),9767,Q918503,General election 1997,3
,John Parfitt,Q10647,UK Independence Party,1900,Q918503,General election 1997,4
Q1699659,John Cope,Q9626,Conservative Party (UK),35338,Q543609,General election 1992,1
,Heather Larkins,Q9624,Liberal Democrats (UK),23477,Q543609,General election 1992,2
,Nita Norris,Q9630,Labour Party (UK),10290,Q543609,General election 1992,3
,Jay Greene,Q9669,Green Party of England and Wales,789,Q543609,General election 1992,4
,Paul Marx,Q3360801,"Liberal Party (UK, 1989)",380,Q543609,General election 1992,5
Q1699659,John Cope,Q9626,Conservative Party (UK),34244,Q918472,General election 1987,1
,Christine Willmore,Q622441,Liberal Party (UK),19954,Q918472,General election 1987,2
Q5214105,Dan Norris,Q9630,Labour Party (UK),8762,Q918472,General election 1987,3
Q1699659,John Cope,Q9626,Conservative Party (UK),30790,Q918466,General election 1983,1
,George Conrad,Q622441,Liberal Party (UK),17807,Q918466,General election 1983,2
,Nita Norris,Q9630,Labour Party (UK),8243,Q918466,General election 1983,3
,Keith Radmall,Q15980875,Ecology Party (UK),499,Q918466,General election 1983,4
